Syl : Freq_in_tokens : Freq_in_corpus
णआऱयआ : 1 : 5979
हआरआ : 1 : 5945
ईरअ : 1 : 5903
वआदई : 1 : 5893
पआणई : 1 : 5878
नअवई : 1 : 5835
तरअपअ : 1 : 5825
रआजयअ : 1 : 5809
अरथअ : 1 : 5781
पऊरअ : 1 : 5757
बओलअ : 1 : 5740
पअकषअ : 1 : 5724
मइळआ : 1 : 5719
वअसए : 1 : 5701
दआनअ : 1 : 5693
सअलए : 1 : 5684
दअरशअ : 1 : 5665
बआजअ : 1 : 5651
सएलअ : 1 : 5642
रईयअ : 1 : 5637
ओधअ : 1 : 5626
बअंदअ : 1 : 5622
जअयअ : 1 : 5615
एलअ : 1 : 5613
आचआ : 1 : 5612
वइभआ : 1 : 5575
वयअवअ : 1 : 5572
हआतअ : 1 : 5560
यएथई : 1 : 5558
रअणए : 1 : 5551
दइलए : 1 : 5536
वआतअ : 1 : 5525
यआरअ : 1 : 5524
लयआनए : 1 : 5521
अंकअ : 1 : 5521
असअं : 1 : 5520
यअतनअ : 1 : 5488
ओषअ : 1 : 5483
मअलआ : 1 : 5474
वएगअ : 1 : 5457
पउरअ : 1 : 5442
लयआचए : 1 : 5434
मउलआ : 1 : 5409
फअकतअ : 1 : 5378
कअंपअ : 1 : 5331
करअमअ : 1 : 5314
यएणआ : 1 : 5310
यआवअ : 1 : 5292
मअरआ : 1 : 5283
वआयअ : 1 : 5277
अनउ : 1 : 5271
नअवअ : 1 : 5265
लआखअ : 1 : 5257
तअलए : 1 : 5251
लएलआ : 1 : 5249
तयआतअ : 1 : 5243
जअगअ : 1 : 5242
आमहई : 1 : 5234
रइकअ : 1 : 5204
तयआलआ : 1 : 5188
दउसअ : 1 : 5185
वएळअ : 1 : 5178
बअंधअ : 1 : 5164
कईयअ : 1 : 5157
अंमअ : 1 : 5155
दएतअ : 1 : 5150
परअमआ : 1 : 5127
दइलआ : 1 : 5111
पआहइ : 1 : 5095
यओगअ : 1 : 5091
मआलअ : 1 : 5083
तअकअ : 1 : 5070
मअधई : 1 : 5063
धईलअ : 1 : 5063
ऊलअ : 1 : 5028
तईनअ : 1 : 5016
सउरअ : 1 : 5003
बअतअ : 1 : 4988
अंवअ : 1 : 4983
मअहइ : 1 : 4981
हइलआ : 1 : 4981
गएलयआ : 1 : 4980
घअडअ : 1 : 4976
मआरगअ : 1 : 4962
हएरअ : 1 : 4960
नआवअ : 1 : 4943
परअशनअ : 1 : 4918
वइवइ : 1 : 4897
शअकयअ : 1 : 4885
वआनअ : 1 : 4874
आरआ : 1 : 4866
मअदअ : 1 : 4858
सअतए : 1 : 4786
अरअ : 1 : 4778
सअंपअ : 1 : 4762
ठइकअ : 1 : 4737
सथआनअ : 1 : 4733
बअनअ : 1 : 4729
वआदअ : 1 : 4713
वइशए : 1 : 4711
रणअयअ : 1 : 4694
रओजअ : 1 : 4683
रअमयआ : 1 : 4682
आठअ : 1 : 4677
अंभअ : 1 : 4665
इटअ : 1 : 4648
जआतए : 1 : 4632
पआसअ : 1 : 4609
मओदई : 1 : 4583
ऋतअ : 1 : 4576
पओलई : 1 : 4552
खअलअ : 1 : 4550
अजअ : 1 : 4542
पअदअ : 1 : 4536
नयआयआ : 1 : 4530
पउनहआ : 1 : 4527
कओटई : 1 : 4501
दएखई : 1 : 4483
पआटई : 1 : 4441
टईलअ : 1 : 4441
वयअकतअ : 1 : 4439
जईवअ : 1 : 4434
पआवअ : 1 : 4433
वआई : 1 : 4427
पआठअ : 1 : 4426
लएलई : 1 : 4423
मउखअ : 1 : 4409
परअतयए : 1 : 4407
तयएकअ : 1 : 4407
घएऊ : 1 : 4400
मअधअ : 1 : 4396
सथइतई : 1 : 4377
ददअलअ : 1 : 4367
घअरअ : 1 : 4366
ऊपअ : 1 : 4365
पआरअ : 1 : 4356
डअकअ : 1 : 4352
गआरअ : 1 : 4349
तएवहआ : 1 : 4326
कअतए : 1 : 4308
दयआरथअ : 1 : 4295
जइलहअ : 1 : 4288
सओडअ : 1 : 4285
जइलहआ : 1 : 4281
हओई : 1 : 4272
बअदअ : 1 : 4269
उकतअ : 1 : 4269
सअतआ : 1 : 4249
आसऊ : 1 : 4240
यआवए : 1 : 4236
पऊरवई : 1 : 4228
अतइ : 1 : 4222
सअधयआ : 1 : 4215
सअमआ : 1 : 4209
मआजअ : 1 : 4209
कआळई : 1 : 4207
कअडअ : 1 : 4196
तईनए : 1 : 4192
णआमअ : 1 : 4170
णयआचए : 1 : 4169
लआवअ : 1 : 4160
गअणई : 1 : 4154
सआयअ : 1 : 4150
ऋतई : 1 : 4147
इतरअ : 1 : 4145
रअंगअ : 1 : 4141
दएणयआ : 1 : 4139
सअगअ : 1 : 4104
परअवअ : 1 : 4095
तयआनअं : 1 : 4080
अधयअ : 1 : 4076
खआसअ : 1 : 4073
खऊपअ : 1 : 4066
रअतई : 1 : 4066
बआअं : 1 : 4052
हआपअ : 1 : 4034
आई : 1 : 4016
नउसआ : 1 : 4008
दइललई : 1 : 3994
णआलए : 1 : 3993
हईतअ : 1 : 3970
खएळअ : 1 : 3970
वइरओ : 1 : 3969
जआसतअ : 1 : 3967
कएअं : 1 : 3958
कअधई : 1 : 3932
सआधअ : 1 : 3931
कषएतरअ : 1 : 3928
सअंसथअ : 1 : 3913
कअरआ : 1 : 3910
भआवअ : 1 : 3904
तइकअ : 1 : 3896
आणए : 1 : 3888
सआतअ : 1 : 3881
सअभआ : 1 : 3878
पआचअ : 1 : 3877
वइधआ : 1 : 3872
नइरमआ : 1 : 3868
रमआणअ : 1 : 3868
पअतरअ : 1 : 3867
महअटअ : 1 : 3859
पअवआ : 1 : 3844
भअवअ : 1 : 3830
वयअकतई : 1 : 3823
इनए : 1 : 3822
यओजअ : 1 : 3811
आलयआ : 1 : 3801
वइषअ : 1 : 3799
उतपआ : 1 : 3778
तपआदअ : 1 : 3778
अंपअ : 1 : 3718
आखअ : 1 : 3560
इलआ : 1 : 3294
परअतयअ : 1 : 2771
नइरमअ : 1 : 2622
रएसअ : 1 : 2556
अंतरई : 1 : 2475
आषटअ : 1 : 2365
मआतअ : 1 : 2212
हआरअ : 1 : 1753
उसआ : 1 : 1456
पआदअ : 1 : 1282
मआहअ : 1 : 910
पआटअ : 1 : 853
पओलअ : 1 : 550
एतरअ : 1 : 490
आषटरअ : 1 : 83
जइलअ : 1 : 24
ऍङअ : 1 : 1
अःऐ : 1 : 1
ऐऐ : 1 : 1
अऄ : 1 : 1
